nation_a,nation_b,result,day,month,year,location,round,temp,home,appear,semi_finalist,runner_up,winner,prev,coach_exp,rest
england,india,0,7,june,1975,england,0,,,,,,,,,
new_zealand,east_africa,0,7,june,1975,england,0,,,,,,,,,
england,new_zealand,0,11,june,1975,england,0,,,,,,,,,
england,east_africa,0,14,june,1975,england,0,,,,,,,,,
australia,pakistan,0,7,june,1975,england,0,,,,,,,,,
australia,sri_lanka,0,11,june,1975,england,0,,,,,,,,,
pakistan,sri_lanka,0,14,june,1975,england,0,,,,,,,,,
australia,west_indies,0,21,june,1975,england,2,,,,,,,,,
pakistan,australia,0,14,june,1979,england,0,,,,,,,,,
england,pakistan,0,16,june,1979,england,0,,,,,,,,,
sri_lanka,india,0,18,june,1979,england,0,,,,,,,,,
west_indies,new_zealand,0,16,june,1979,england,0,,,,,,,,,
england,new_zealand,0,20,june,1979,england,2,,,,,,,,,
west_indies,pakistan,0,20,june,1979,england,2,,,,,,,,,
england,new_zealand,0,9,june,1983,england,0,,,,,,,,,
pakistan,sri_lanka,0,9,june,1983,england,0,,,,,,,,,
england,sri_lanka,0,11,june,1983,england,0,,,,,,,,,
new_zealand,pakistan,0,11,june,1983,england,0,,,,,,,,,
pakistan,sri_lanka,0,16,june,1983,england,0,,,,,,,,,
pakistan,new_zealand,0,20,june,1983,england,0,,,,,,,,,
zimbabwe,australia,0,9,june,1983,england,0,,,,,,,,,
india,west_indies,0,9,june,1983,england,0,,,,,,,,,
west_indies,australia,0,11,june,1983,england,0,,,,,,,,,
australia,india,0,13,june,1983,england,0,,,,,,,,,
west_indies,india,0,15,june,1983,england,0,,,,,,,,,
australia,zimbabwe,0,16,june,1983,england,0,,,,,,,,,
india,zimbabwe,0,18,june,1983,england,0,,,,,,,,,
india,australia,0,20,june,1983,england,0,,,,,,,,,
india,west_indies,0,25,june,1983,england,2,,,,,,,,,
australia,india,0,9,october,1987,india,0,,,,,,,,,
new_zealand,zimbabwe,0,10,october,1987,india,0,,,,,,,,,
australia,zimbabwe,0,13,october,1987,india,0,,,,,,,,,
india,new_zealand,0,14,october,1987,india,0,,,,,,,,,
australia,new_zealand,0,18,october,1987,india,0,,,,,,,,,
india,australia,0,22,october,1987,india,0,,,,,,,,,
australia,new_zealand,0,27,october,1987,india,0,,,,,,,,,
australia,zimbabwe,0,30,october,1987,india,0,,,,,,,,,
pakistan,sri_lanka,0,8,october,1987,pakistan,0,,,,,,,,,
pakistan,england,0,13,october,1987,pakistan,0,,,,,,,,,
