year,nation,player,player_id,dob,local_team,role,surname,age,wc_played,odis,bat_avg,centuries,bowl_avg,fives
1975,australia,Ian Chappell,4560,26 September 1943,South Australia,c,,,,7,51.14,0,,
1975,australia,Greg Chappell,4558,7 August 1948,"South Australia,Queensland",vc,,,,7,71,0,29.8,0
1975,australia,Ross Edwards,5124,1 December 1942,"New South Wales,Western Australia",,,,,4,22.25,0,,
1975,australia,Gary Gilmour,5396,26 June 1951,New South Wales,,,,,2,,,18.33,0
1975,australia,Dennis Lillee,6295,18 July 1949,Western Australia,,,,,3,13,0,26,0
1975,australia,Rick McCosker,6547,11 December 1946,New South Wales,,,,,,,,,
1975,australia,Ashley Mallett,6472,13 July 1945,South Australia,,,,,5,14,0,20.5,0
1975,australia,Rod Marsh,6502,4 November 1947,Western Australia,wk,,,,7,14,0,,
1975,australia,Jeff Thomson,7946,16 August 1950,Queensland,,,,,1,4,0,33,0
1975,australia,Alan Turner,7989,23 July 1950,New South Wales,,,,,,,,,
1975,australia,Max Walker,8137,12 September 1948,Victoria,,,,,3,20,0,24.5,0
1975,australia,Doug Walters,8151,21 December 1945,New South Wales,,,,,6,19,0,43.33,0
1975,east_africa,Harilal Shah,23952,14 April 1943,,c,,,,,,,,
1975,east_africa,Frasat Ali,23950,31 July 1949,,,,,,,,,,
1975,east_africa,Zulfiqar Ali,23977,1 July 1947,,,,,,,,,,
1975,east_africa,Yunus Badat,23976,1 July 1943,,,,,,,,,,
1975,east_africa,Hamish McLeod,23960,,,wk,,,,,,,,
1975,east_africa,Praful Mehta,23962,1 July 1941,,wk,,,,,,,,
1975,east_africa,John Nagenda,23964,25 April 1938,,,,,,,,,,
1975,east_africa,Parbhu Nana,23965,17 August 1933,,,,,,,,,,
1975,east_africa,Don Pringle,23969,1 May 1932,,,,,,,,,,
1975,east_africa,Mehmood Quaraishy,23961,4 February 1942,,,,,,,,,,
1975,east_africa,Ramesh Sethi,23972,4 September 1941,MCC,,,,,,,,,
1975,east_africa,Jawahir Shah,23956,1 July 1942,,,,,,,,,,
1975,east_africa,Shiraz Sumar,23974,1 July 1950,,,,,,,,,,
1975,east_africa,Samuel Walusimbi,24010,1 July 1948,,,,,,,,,,
1975,england,Mike Denness,11870,1 December 1940,Kent,c,,,,7,21.57,0,,
1975,england,Dennis Amiss,8535,7 April 1943,Warwickshire,,,,,7,52.71,2,,
1975,england,Geoff Arnold,8566,3 September 1944,Surrey,,,,,10,15,0,16.43,0
1975,england,Keith Fletcher,12854,20 May 1944,Essex,,,,,13,37.1,0,,
1975,england,Tony Greig,13463,6 October 1946,Sussex,,,,,12,29.85,0,52.57,0
1975,england,Frank Hayes,14106,6 December 1946,Lancashire,,,,,3,19,0,,
1975,england,John Jameson,15468,30 June 1941,Warwickshire,wk,,,,1,28,0,,
1975,england,Alan Knott,15917,9 April 1946,Kent,wk,,,,10,27.25,0,,
1975,england,Peter Lever,16262,17 September 1940,Lancashire,,,,,5,,0,67,0
1975,england,Chris Old,18256,22 December 1948,Yorkshire,,,,,7,16.2,0,24.69,0
1975,england,John Snow,20282,13 October 1941,Sussex,,,,,6,7,0,20.87,0
1975,england,Derek Underwood,22149,8 June 1945,Kent,,,,,7,20,0,27,0
1975,england,Barry Wood,22498,26 December 1942,Lancashire,,,,,1,19,0,10,0
1975,india,Srinivasaraghavan Venkataraghavan,35656,21 April 1945,Tamilnadu,c,,,,1,,0,58,0
1975,india,Syed Abid Ali,26169,9 September 1941,Hyderabad,,,,,2,11.5,0,72,0
1975,india,Mohinder Amarnath,26225,24 September 1950,Delhi,,,,,,,,,
1975,india,Bishen Singh Bedi,26875,25 September 1946,Delhi,,,,,1,0,0,34,0
1975,india,Farokh Engineer,28624,25 February 1938,Bombay,,,,,2,18,0,,
1975,india,Anshuman Gaekwad,28754,23 September 1952,Baroda,,,,,,,,,
1975,india,Sunil Gavaskar,28794,10 July 1949,Bombay,,,,,2,24,0,,
1975,india,Karsan Ghavri,28813,28 February 1951,Bombay,,,,,,,,,
1975,india,Madan Lal,30873,20 March 1951,Delhi,,,,,2,5,0,33,0
1975,india,Brijesh Patel,32231,24 November 1952,Karnataka,,,,,2,47,0,,
1975,india,Eknath Solkar,34085,19 March 1948,Bombay,,,,,2,1.5,0,34,0
1975,india,Gundappa Viswanath,35712,12 February 1949,Karnataka,,,,,2,18,0,,
1975,new_zealand,Glenn Turner,38622,26 May 1947,Otago,c,,,,5,11.75,0,,
1975,new_zealand,Lance Cairns,36595,10 October 1949,Otago,,,,,2,,0,96,0
1975,new_zealand,Richard Collinge,36606,2 April 1946,"Central Districts,Wellington",,,,,4,6.5,0,47.66,0
1975,new_zealand,Barry Hadlee,37220,14 December 1941,Canterbury,,,,,,,,,
1975,new_zealand,Dayle Hadlee,37222,6 January 1948,Canterbury,,,,,3,6,0,19.33,0
1975,new_zealand,Richard Hadlee,37224,3 July 1951,Canterbury,,,,,4,26,0,65,0
1975,new_zealand,Brian Hastings,37243,23 March 1940,Wellington,,,,,5,9.5,0,,
1975,new_zealand,Geoff Howarth,37254,29 March 1951,Auckland,,,,,,,,,
1975,new_zealand,Hedley Howarth,37255,25 December 1943,Auckland,,,,,3,6,0,32.33,0
1975,new_zealand,Brian McKechnie,37707,6 November 1953,Otago,,,,,,,,,
1975,new_zealand,John Morrison,37731,27 August 1947,Wellington,,,,,,,,,
1975,new_zealand,John Parker,38113,21 February 1951,Northern Districts,c,,,,1,14,0,,
1975,new_zealand,Ken Wadsworth,38735,30 November 1946,Central Districts,wk,,,,5,36,1,,
1975,pakistan,Asif Iqbal,39010,6 June 1943,Karachi,c,,,,3,27,0,22.25,0
1975,pakistan,Zaheer Abbas,43695,24 July 1947,Karachi,,,,,2,88,0,,
1975,pakistan,Wasim Bari,43549,23 March 1948,Karachi,wk,,,,3,21,0,,
1975,pakistan,Imran Khan,40560,25 November 1952,PIA,,,,,2,,,26,0
1975,pakistan,Majid Khan,41919,28 September 1946,Rawalpindi,vc,,,,3,39,1,22,0
1975,pakistan,Naseer Malik,42055,1 February 1950,Karachi,,,,,,,,,
1975,pakistan,Asif Masood,39012,23 January 1946,PIA,,,,,3,,0,34,0
1975,pakistan,Javed Miandad,40879,12 June 1957,Habib Bank,,,,,,,,,
1975,pakistan,Pervez Mir,42323,24 September 1953,Lahore,,,,,,,,,
1975,pakistan,Mushtaq Mohammad,41318,22 November 1943,Karachi,,,,,3,52,0,,
