nation,capital,january,february,march,april,may,june,july,august,september,october,november,december
afghanistan,kabul,26.8,31.1,43.2,52.9,60.3,69.3,73.8,72.9,65.7,55,44.2,34.3
australia,canberra,68.9,68.4,63.9,55.8,48.6,43.7,41.9,44.6,49.3,54.9,60.3,65.5
bangladesh,dhaka,66.2,70.7,78.4,84.2,84.4,83.8,83.5,84,83.8,81.5,74.7,68.2
bermuda,hamilton,63.5,63,63.1,65.7,70.5,75.7,79.5,80.6,78.8,74.8,69.3,65.3
canada,ottawa,12.7,15.6,26.8,42.1,54.9,64.4,69.1,66.9,58.5,47.3,35.1,19.2
east_africa,nairobi,67.5,68.4,69.3,68.4,66.4,64,62.1,63,65.5,67.6,66.7,66.6
england,london,40.8,41,45,49.5,55.6,61.9,65.7,64.8,59.9,52.9,45.9,42.1
india,new_delhi,57.6,62.4,72.9,83.5,92.3,93.7,88,85.6,84.6,78.4,68.2,60.1
ireland,dublin,41.4,41.2,43.5,46.8,51.3,56.3,59.5,59.2,56.1,51.4,45,42.6
kenya,nairobi,67.5,68.4,69.3,68.4,66.4,64,62.1,63,65.5,67.6,66.7,66.6
namibia,windhoek,74.7,72.7,70.5,66.6,61,56.3,56.3,60.8,67.1,71.2,72.9,75
netherlands,amsterdam,36.3,36.7,40.6,42.8,53.1,58.5,61.7,61.7,57.7,51.4,43.3,38.3
new_zealand,wellington,63.3,63.7,61.5,57.4,53.1,49.5,48.2,48.9,51.6,54.5,57.6,60.6
pakistan,islamabad,49.6,54.1,62.6,71.8,81,89.1,86.2,83.3,81.1,72.3,61,52.5
scotland,edinburgh,37.2,37.4,41,45.5,50.4,55.6,58.6,57.9,54.1,49.1,42.3,39.2
south_africa,cape_town,69.6,69.6,67.8,63.9,59.4,56.3,55,55.6,58.3,61,64.9,67.3
sri_lanka,colombo,78.8,79.3,81.3,82.4,82.4,81.1,81.1,81.3,81,80.1,79.2,78.6
uae,abu_dhabi,64.8,66.4,72,78.8,87.1,89.6,93.4,93.6,89.6,83.7,76.1,68.4
west_indies,chaguaramas,77.2,77.4,78.6,79.9,80.6,79.9,79.3,79.7,80.1,80.1,79.2,78.3
zimbabwe,harare,68.9,68.4,67.6,65.7,61,56.7,56.8,60.8,66,70.5,69.6,69.3
